,tmm_sum,Households_num,Individual_num,area,death_num,building_area,burnedCount,conflict_num,place_num,poi_num,water,lat,lon,year
tmm_sum,1.0,0.020321800328032595,0.04719157537689141,-0.03325768786593575,0.019102658325467578,0.06082876493954448,0.0267835557364552,0.05136661420997576,0.17020789503446132,0.021601815577977714,0.10026341118626322,0.12603004767240544,-0.09512248561172945,-0.021831063937451944
Households_num,0.020321800328032595,1.0,0.9100500248233792,-0.007565839065356522,0.06895053363895683,-0.12641538226819815,0.04951307893459817,0.07689416976849615,-0.06898303714837094,-0.02063176053785266,-0.024337402881197512,0.035192965743158035,-0.0071447099837923835,-0.9927639484488213
Individual_num,0.04719157537689141,0.9100500248233792,1.0,-0.08444280580901316,0.09595736114598072,-0.1310079926251798,0.055178887831890684,0.0771589920422988,-0.1256551284341587,-0.05183391456974624,-0.032243610565215915,0.2266212747671712,0.11761097719972517,-0.9008934834895713
area,-0.03325768786593575,-0.007565839065356522,-0.08444280580901316,1.0,0.08207836655785453,0.24046559354780517,-0.09535088153004763,0.1663633462573251,0.19438533150916074,0.18697382133176518,0.023471456136191702,-0.18151790976000895,-0.2582403682760774,0.0035726333226564766
death_num,0.019102658325467578,0.06895053363895683,0.09595736114598072,0.08207836655785453,1.0,0.05610842744683568,0.020678042919756598,0.7388548456266703,0.027703569899929427,-0.005946471671509962,0.03495696131067191,0.08771127047248746,0.09626038734923659,-0.07574135875472995
building_area,0.06082876493954448,-0.12641538226819815,-0.1310079926251798,0.24046559354780517,0.05610842744683568,1.0,-0.053586538812584496,0.18868991633318136,0.3365012216302955,0.6001396963205369,0.011415067529770416,0.013888712788719846,-0.03649483430844013,0.12541698402018625
burnedCount,0.0267835557364552,0.04951307893459817,0.055178887831890684,-0.09535088153004763,0.020678042919756598,-0.053586538812584496,1.0,-0.02830867575685364,-0.12579669309153754,-0.03837628455574175,-0.0010596364251665082,-0.03374778035619629,0.07724623524852549,-0.04976400665914153
conflict_num,0.05136661420997576,0.07689416976849615,0.0771589920422988,0.1663633462573251,0.7388548456266703,0.18868991633318136,-0.02830867575685364,1.0,0.15195641617177263,0.04016668133302877,0.02814346809333104,0.053731664676954415,0.02439001320983084,-0.07910387647256592
place_num,0.17020789503446132,-0.06898303714837094,-0.1256551284341587,0.19438533150916074,0.027703569899929427,0.3365012216302955,-0.12579669309153754,0.15195641617177263,1.0,0.15295421928699213,0.023892652726721846,-0.12388269551813681,-0.24261563133755581,0.07304578671130317
poi_num,0.021601815577977714,-0.02063176053785266,-0.05183391456974624,0.18697382133176518,-0.005946471671509962,0.6001396963205369,-0.03837628455574175,0.04016668133302877,0.15295421928699213,1.0,0.00536151449549238,-0.090768950374115,-0.09349681000433092,0.01950373714868574
water,0.10026341118626322,-0.024337402881197512,-0.032243610565215915,0.023471456136191702,0.03495696131067191,0.011415067529770416,-0.0010596364251665082,0.02814346809333104,0.023892652726721846,0.00536151449549238,1.0,-0.12479871240314147,-0.06522389880376783,0.023016948959705647
lat,0.12603004767240544,0.035192965743158035,0.2266212747671712,-0.18151790976000895,0.08771127047248746,0.013888712788719846,-0.03374778035619629,0.053731664676954415,-0.12388269551813681,-0.090768950374115,-0.12479871240314147,1.0,0.33107490974043774,-0.031001246686092387
lon,-0.09512248561172945,-0.0071447099837923835,0.11761097719972517,-0.2582403682760774,0.09626038734923659,-0.03649483430844013,0.07724623524852549,0.02439001320983084,-0.24261563133755581,-0.09349681000433092,-0.06522389880376783,0.33107490974043774,1.0,-0.005091123200953622
year,-0.021831063937451944,-0.9927639484488213,-0.9008934834895713,0.0035726333226564766,-0.07574135875472995,0.12541698402018625,-0.04976400665914153,-0.07910387647256592,0.07304578671130317,0.01950373714868574,0.023016948959705647,-0.031001246686092387,-0.005091123200953622,1.0
